name_of_work,content,,,,,,,,,,,,,,
Hold Your Own by Kae Tempest,"But, when time pulls lives apart
Hold your own
When everything is fluid, nothing can be known with any certainty
Hold your own
Hold it till you feel it there
As dark and dense and wet as earth
As vast and bright and sweet as air
When all there is is knowing that you feel what you are feeling
Hold your own
Ask your hands to know the things they hold
I know, the days are reeling past in such squealing blasts
But stop for breath and you will know it's yours
Swaying like an open door when storms are coming
Hold
Time is an onslaught, love is a mission
We work for vocations until, in remission
We wish we'd had patience and given more time to our children
Feel each decision that you make
Make it, hold it
Hold your own
Hold your lovers
Hold their hands
Hold their breasts in your hands like your hands were their bra
Hold their face in your palms like a prayer
Hold them all night, feel them hold back
Don't hold back
Hold your own
Every pain
Every grievance
Every stab of shame
Every day spent with a demon in your brain giving chase
Hold it
Know the wolves that hunt you
In time, they will be the dogs that bring your slippers
Love them right and you will feel them kiss you when they come to bite
Hot snouts digging out your cuddles with their bloody muzzles
Hold
Nothing you can buy will ever make you more whole
This whole thing thrives on us feeling always incomplete
And it is why we will search for happiness in whatever thing it is we crave in the moment
And it is why we can never really find it there
It is why you will sit there with the lover that you fought for
In the car you sweated years to buy
Wearing the ring you dreamed of all your life
And some part of you will still be unsure that this is what you really want
Stop craving
Hold your own
But if you're satisfied with where you're at, with who you are
You won't need to buy new make-up or new outfits or new pots and pans
To cook new exciting recipes for new exciting people
To make yourself feel like the new exciting person you think you're supposed to be
Happiness, the brand, is not happiness
We are smarter than they think we are
They take us all for idiots, but that's their problem
When we behave like idiots, it becomes our problem
So, hold your own
Breathe deep on a freezing beach
Taste the salt of friendship
Notice the movement of a stranger
Hold your own
And let it be
Catching

You might also like
Picture A Vacuum
Kae Tempest
Salt Coast
Kae Tempest
Perfect Coffee
Kae Tempest



4",,,,,,,,,,,,,,
Our Mothers by Christina Rossetti,"Our Mothers, lovely women pitiful;
Our Sisters, gracious in their life and death;
To us each unforgotten memory saith:
""Learn as we learned in life's sufficient school,
Work as we worked in patience of our rule,
Walk as we walked, much less by sight than faith,
Hope as we hoped, despite our slips and scathe,
Fearful in joy and confident in dule.""
I know not if they see us or can see;
But if they see us in our painful day,
How looking back to earth from Paradise
Do tears not gather in those loving eyes?--
Ah, happy eyes! whose tears are wiped away
Whether or not you bear to look on me.",,,,,,,,,,,,,,
Gale in April by Robinson Jeffers,"Intense and terrible beauty, how has our race with the frail naked nerves,
So little a craft swum down from its far launching?
Why now, only because the northwest blows and the headed grass billows,
Great seas jagging the west and on the granite
Blanching, the vessel is brimmed, this dancing play of the world is too much passion.
A gale in April so overfilling the spirit,
Though his ribs were thick as the earth's, arches of mountain, how shall one dare to live,
Though his blood were like the earth's rivers and his flesh iron,
How shall one dare to live? One is born strong, how do the weak endure it?
The strong lean upon death as on a rock,
After eighty years there is shelter and the naked nerves shall be covered with deep quietness,
O beauty of things go on, go on, O torture
Of intense joy I have lasted out my time. I have thanked God and finished,
Roots of millennial trees fold me in the darkness,
Northwest wind shake their tops, not to the root, not to the root, I have passed
From beauty to the other beauty, peace, the night splendor.",,,,,,,,,,,,,,
1861 by Walt Whitman,"Arm'd year! year of the struggle!
No dainty rhymes or sentimental love verses for you, terrible year!
Not you as some pale poetling, seated at a desk, lisping cadenzas
piano;
But as a strong man, erect, clothed in blue clothes, advancing,
carrying a rifle on your shoulder,
With well-gristled body and sunburnt face and hands—with a knife in
the belt at your side,
As I heard you shouting loud—your sonorous voice ringing across the
continent;
Your masculine voice, O year, as rising amid the great cities,
Amid the men of Manhattan I saw you, as one of the workmen, the
dwellers in Manhattan;
Or with large steps crossing the prairies out of Illinois and
Indiana,
Rapidly crossing the West with springy gait, and descending the
Alleghanies; Or down from the great lakes, or in Pennsylvania, or on deck along
the Ohio river;
Or southward along the Tennessee or Cumberland rivers, or at
Chattanooga on the mountain top,
Saw I your gait and saw I your sinewy limbs, clothed in blue, bearing
weapons, robust year;
Heard your determin'd voice, launch'd forth again and again;
Year that suddenly sang by the mouths of the round-lipp'd cannon,
I repeat you, hurrying, crashing, sad, distracted year.",,,,,,,,,,,,,,
Evening Scene From My Table by Vikram Seth,"Evening is here, and I am here
At my baize table with a glass,
Now sipping my unfizzy beer,
Now looking out where on the grass

Two striped and crested hoopoes glean
Delicious insects one by one.
A barbet flies into the scene
Across the smoky city sun.

My friends have left, and I can see
No one, and no one will appear.
This must be happiness, to be
Sitting alone with birds and beer.

In a brief while the sun will go,
And grand unnerving bats will fly
Westward in clumped formations, slow
And dark across a darkened sky.",,,,,,,,,,,,,,
The Field of Waterloo by Thomas Hardy,"Yea, the coneys are scared by the thud of hoofs,
And their white scuts flash at their vanishing heels,
And swallows abandon the hamlet-roofs.The mole’s tunnelled chambers are crushed by wheels,
The lark’s eggs scattered, their owners fled;
And the hedgehog’s household the sapper unseals.The snail draws in at the terrible tread,
But in vain; he is crushed by the felloe-rim.
The worm asks what can be overhead,And wriggles deep from a scene so grim,
And guesses him safe; for he does not know
What a foul red flood will be soaking him!Beaten about by the heel and toe
Are butterflies, sick of the day’s long rheum,
To die of a worse than the weather-foe.Trodden and bruised to a miry tomb
Are ears that have greened but will never be gold,
And flowers in the bud that will never bloom.",,,,,,,,,,,,,,
On The Birth of a Son by Su Tung-Po,"Families when a child is born
Hope it will turn out intelligent.
I, through intelligence
Having wrecked my whole life,
Only hope that the baby will prove
Ignorant and stupid.
Then he'll be happy all his days
And grow into a cabinet minister.",,,,,,,,,,,,,,
Aimless Love by Billy Collins,"This morning as I walked along the lake shore, 
I fell in love with a wren 
and later in the day with a mouse 
the cat had dropped under the dining room table.

In the shadows of an autumn evening,
I fell for a seamstress
still at her machine in the tailor's window, 
and later for a bowl of broth, 
steam rising like smoke from a naval battle.

This is the best kind of love, I thought, 
without recompense, without gifts, 
or unkind words, without suspicion, 
or silence on the telephone.

The love of the chestnut,
the jazz cap and one hand on the wheel.

No lust, no slam of the door-
the love of the miniature orange tree,
the clean white shirt, the hot evening shower,
the highway that cuts across Florida. 

No waiting, no huffiness, or rancor- 
just a twinge every now and then

for the wren who had built her nest 
on a low branch overhanging the water 
and for the dead mouse, 
still dressed in its light brown suit.

But my heart is always standing on its tripod, 
ready for the next arrow.

After I carried the mouse by the tail
to a pile of leaves in the woods,
I found myself standing at the bathroom sink
gazing down affectionately at the soap,

so patient and soluble
so at home in its pale green soap dish.
I could feel myself falling again
as I felt its turning in my wet hands 
and caught the scent of lavender and stone.",,,,,,,,,,,,,,
The Clown’s Wife by John Agard,"About my husband, the clown,

what could I say?

On stage, he’s a different person.

Up there he’s a king on a throne,

but at home you should hear him moan.

The moment he walks through that door

without that red nose and them funny clothes,

he seems to have the world on his shoulder.

I do me best to cheer him up, poor soul.

I juggle with eggs, I turn cartwheels,

I tell jokes, I do me latest card trick,

I even have a borrow of his red nose.

But he doesn’t say exactly how he feels,

doesn’t say what’s bothering him inside.

Just sits there saying almost to himself:

‘O life, ah life,

what would I do without this clown of a wife?’",,,,,,,,,,,,,,
Grief by Elizabeth Barrett Browning,"I tell you, hopeless grief is passionless;
That only men incredulous of despair,
Half-taught in anguish, through the midnight air
Beat upward to God’s throne in loud access
Of shrieking and reproach. Full desertness,
In souls as countries, lieth silent-bare
Under the blanching, vertical eye-glare
Of the absolute heavens. Deep-hearted man, express
Grief for thy dead in silence like to death—
Most like a monumental statue set
In everlasting watch and moveless woe
Till itself crumble to the dust beneath.
Touch it; the marble eyelids are not wet:
If it could weep, it could arise and go.",,,,,,,,,,,,,,
